Date,Time,Total Yield[kWh],Solar Irradiance,Temprature (2 meters),Precipitation,Wind Speed (10 meters),Wind Direction (10 meters)
01/01/2018,01:00:00,0,0,5.76,0.29,9.2,239.93
01/01/2018,02:00:00,0,0,6.07,0.4,9.98,236.78
01/01/2018,03:00:00,0,0,6.23,0.28,9.99,237.25
01/01/2018,04:00:00,0,0,6.12,0.15,9.28,235.04
01/01/2018,05:00:00,0,0,6.02,0.1,8.72,232.9
01/01/2018,06:00:00,0,0,6.05,0.13,8.39,234.93
01/01/2018,07:00:00,0,0,6.13,0.12,7.99,240.68
01/01/2018,08:00:00,0,0,6.12,0.05,7.43,247.7
01/01/2018,09:00:00,0,30.33,6.29,0.02,7.24,252.8
01/01/2018,10:00:00,0.385,68.41,6.66,0.01,7.53,253.99
01/01/2018,11:00:00,1.01,127.27,7,0.03,8.02,251.6
01/01/2018,12:00:00,3.231,133.83,7.08,0.11,8.92,253.15
01/01/2018,13:00:00,3.932,92.98,6.9,0.21,9.69,259.03
01/01/2018,14:00:00,0.945,27.01,6.64,0.32,10.14,266.91
01/01/2018,15:00:00,0.512,14.16,6.29,0.42,10.35,276.5
01/01/2018,16:00:00,0.072,0,6.27,0.36,11.06,288.96
01/01/2018,17:00:00,0,0,6.41,0.2,12.18,300.15
01/01/2018,18:00:00,0,0,6.37,0.05,12.52,306.19
01/01/2018,19:00:00,0,0,6.22,0.01,11.22,306.1
01/01/2018,20:00:00,0,0,6,0.01,9.31,300.91
01/01/2018,21:00:00,0,0,5.94,0.01,8.66,290.38
01/01/2018,22:00:00,0,0,6.08,0.01,8.97,283.39
01/01/2018,23:00:00,0,0,6.14,0.02,9.1,282.39
01/01/2018,00:00:00,0,0,5.88,0.01,8.11,279.6
02/01/2018,01:00:00,0,0,5.39,0,7.35,273.96
02/01/2018,02:00:00,0,0,4.83,0,6.26,267.28
02/01/2018,03:00:00,0,0,4.53,0,5.45,260.01
02/01/2018,04:00:00,0,0,4.68,0,5.04,247.09
02/01/2018,05:00:00,0,0,4.34,0,4.12,224.85
02/01/2018,06:00:00,0,0,4.03,0.01,4.2,194.55
02/01/2018,07:00:00,0,0,4.15,0.17,5.64,174.51
02/01/2018,08:00:00,0,0,4.08,0.64,7.22,158.94
02/01/2018,09:00:00,0,28.42,4.19,1.09,8.62,160.12
02/01/2018,10:00:00,0,46.01,4.82,1.12,8.85,168.64
02/01/2018,11:00:00,0.417,66.29,6.2,0.69,8.75,196.07
02/01/2018,12:00:00,0.659,82.64,7.92,0.17,8.73,231.91
02/01/2018,13:00:00,1.043,87.02,8.76,0.04,8.82,252.37
02/01/2018,14:00:00,1.21,47.28,8.51,0.02,8.12,255.35
02/01/2018,15:00:00,0.623,14.15,8.01,0.06,6.97,241.86
02/01/2018,16:00:00,0,0,7.6,0.32,6.89,226.15
02/01/2018,17:00:00,0,0,7.36,0.75,7.04,208.27
02/01/2018,18:00:00,0,0,7.05,1.03,7.5,185.26
02/01/2018,19:00:00,0,0,6.94,2.44,9.47,170.46
02/01/2018,20:00:00,0,0,7.75,3.17,10.84,185
02/01/2018,21:00:00,0,0,10.29,0.65,14.11,231.38
02/01/2018,22:00:00,0,0,9.67,0.16,18.61,258.27
02/01/2018,23:00:00,0,0,7.7,0.06,17.43,262.22
02/01/2018,00:00:00,0,0,6.88,0.13,16.97,263.6
03/01/2018,01:00:00,0,0,6.24,0.45,16.36,263.89
03/01/2018,02:00:00,0,0,5.99,0.56,16.44,263.73
03/01/2018,03:00:00,0,0,5.99,0.38,16.79,264.87
03/01/2018,04:00:00,0,0,6.04,0.42,16.49,265.73
03/01/2018,05:00:00,0,0,6.28,0.34,16.64,268.65
03/01/2018,06:00:00,0,0,7.08,0.1,16.68,272.01
03/01/2018,07:00:00,0,0,7.37,0.06,15.95,271.71
03/01/2018,08:00:00,0,0,7.31,0.05,15.13,269.62
03/01/2018,09:00:00,0,32.84,7.42,0.04,14.53,267.75
03/01/2018,10:00:00,0.01,56.12,7.62,0.05,14.2,266.62
03/01/2018,11:00:00,1.059,113.97,7.72,0.1,14.08,265.58
03/01/2018,12:00:00,2.159,99.1,7.72,0.1,13.79,264.54
03/01/2018,13:00:00,1.746,96.2,7.78,0.07,13.51,263.73
03/01/2018,14:00:00,1.121,37.76,7.78,0.05,13.03,262.11
03/01/2018,15:00:00,0.365,16.95,7.79,0.05,13.1,260.91
03/01/2018,16:00:00,0.028,0,7.87,0.05,13.34,260.29
03/01/2018,17:00:00,0,0,7.84,0.04,13.14,259.79
03/01/2018,18:00:00,0,0,7.75,0.04,12.89,259.95
03/01/2018,19:00:00,0,0,7.65,0.04,12.44,260.45
03/01/2018,20:00:00,0,0,7.56,0.04,11.82,259.8
03/01/2018,21:00:00,0,0,7.32,0.03,11.11,258.28
03/01/2018,22:00:00,0,0,7.13,0.02,10.12,257.47
03/01/2018,23:00:00,0,0,6.76,0.02,8.92,255.08
03/01/2018,00:00:00,0,0,6.52,0.01,8.33,252.82
04/01/2018,01:00:00,0,0,6.46,0.01,7.43,249.83
04/01/2018,02:00:00,0,0,6.24,0.03,6.15,247.44
04/01/2018,03:00:00,0,0,5.97,0.16,5.47,240.17
04/01/2018,04:00:00,0,0,5.65,0.2,4.8,218.85
04/01/2018,05:00:00,0,0,5.19,0.22,4.38,199.5
04/01/2018,06:00:00,0,0,4.77,0.25,4.4,174.19
04/01/2018,07:00:00,0,0,4.54,0.51,5.65,151.06
04/01/2018,08:00:00,0,0,4.46,0.71,6.66,142
04/01/2018,09:00:00,0,29.78,5.61,0.57,5.69,159.08
04/01/2018,10:00:00,0,78.41,7.69,0.38,6,206.26
04/01/2018,11:00:00,1.104,108.84,9.11,0.24,9.38,234.18
04/01/2018,12:00:00,1.887,117.86,9.21,0.21,12.07,247.83
04/01/2018,13:00:00,2.117,87.98,7.92,0.14,13.58,261
04/01/2018,14:00:00,0.909,47.59,6.52,0.11,14.33,272.5
04/01/2018,15:00:00,0.431,13.38,6,0.1,13.86,281.05
04/01/2018,16:00:00,0.046,0,5.94,0.05,12.21,282.49
04/01/2018,17:00:00,0,0,6.03,0.02,10.95,278.66
04/01/2018,18:00:00,0,0,6.19,0.07,10.16,274.98
04/01/2018,19:00:00,0,0,6.23,0.06,9.54,271.6
04/01/2018,20:00:00,0,0,6.1,0.06,8.53,265.8
04/01/2018,21:00:00,0,0,5.68,0.04,7.18,260.1
04/01/2018,22:00:00,0,0,4.91,0.02,5.86,255.56
04/01/2018,23:00:00,0,0,4.35,0.02,5.04,251.57
04/01/2018,00:00:00,0,0,3.89,0.02,4.26,246.64
05/01/2018,01:00:00,0,0,3.65,0.02,3.69,241.43
05/01/2018,02:00:00,0,0,3.76,0.02,3.09,231.88
05/01/2018,03:00:00,0,0,3.81,0.01,2.42,213.69
05/01/2018,04:00:00,0,0,3.7,0.01,2.14,186.92
05/01/2018,05:00:00,0,0,3.71,0.02,2.2,162.02
05/01/2018,06:00:00,0,0,3.45,0.11,2.5,144.52
05/01/2018,07:00:00,0,0,3.22,0.22,2.35,134.46
05/01/2018,08:00:00,0,0,3.24,0.19,1.79,121.95
05/01/2018,09:00:00,0.005,37.84,3.47,0.11,1.39,103.33
05/01/2018,10:00:00,0.969,83.02,3.79,0.06,0.77,41.3
05/01/2018,11:00:00,4.247,131.5,4.32,0.04,1.69,334.62
05/01/2018,12:00:00,3.58,151.82,4.9,0.04,2.66,321.31
05/01/2018,13:00:00,3.002,117.34,5.42,0.03,2.94,313.28
05/01/2018,14:00:00,2.888,73.8,5.41,0.04,2.61,307.59
05/01/2018,15:00:00,1.919,22.27,4.78,0.03,2.65,306.84
05/01/2018,16:00:00,0.363,0,4.4,0.02,2.54,305.6
05/01/2018,17:00:00,0,0,4.54,0.01,2.3,304.07
05/01/2018,18:00:00,0,0,4.62,0,2.11,304.75
05/01/2018,19:00:00,0,0,4.57,0,2.01,310.58
05/01/2018,20:00:00,0,0,4.39,0,2.01,324.51
05/01/2018,21:00:00,0,0,4.09,0,2.32,344.56
05/01/2018,22:00:00,0,0,3.7,0.01,2.88,1.55
05/01/2018,23:00:00,0,0,3.26,0.01,3.32,12.76
05/01/2018,00:00:00,0,0,2.89,0.01,3.63,18.43
06/01/2018,01:00:00,0,0,2.53,0.01,4.12,22.63
06/01/2018,02:00:00,0,0,2.51,0.02,4.51,27.76
06/01/2018,03:00:00,0,0,2.77,0.02,5.08,32.13
06/01/2018,04:00:00,0,0,2.92,0.02,5.44,36.59
06/01/2018,05:00:00,0,0,3.2,0.02,6.08,40.88
06/01/2018,06:00:00,0,0,3.03,0.01,5.84,39.14
06/01/2018,07:00:00,0,0,2.81,0.01,5.86,38.67
06/01/2018,08:00:00,0,0,2.66,0.01,6.08,41.3
06/01/2018,09:00:00,0,39.02,3.32,0.01,6.51,41.88
06/01/2018,10:00:00,0.524,118.45,4.08,0,6.7,41.5
06/01/2018,11:00:00,2.744,160.9,4.73,0,6.72,41.66
06/01/2018,12:00:00,4.091,178.3,5.17,0,6.74,42.98
06/01/2018,13:00:00,4.773,157.35,5.3,0.01,6.95,45
06/01/2018,14:00:00,3.278,95.27,4.98,0.01,6.8,43.88
06/01/2018,15:00:00,2.114,31.98,4.23,0.01,6.57,42.49
06/01/2018,16:00:00,0.584,0,3.73,0,6.43,42.19
06/01/2018,17:00:00,0,0,3.35,0,6.09,43.34
06/01/2018,18:00:00,0,0,2.83,0,5.72,43.51
06/01/2018,19:00:00,0,0,2.37,0,5.62,43.25
06/01/2018,20:00:00,0,0,2.08,0,5.4,43.59
06/01/2018,21:00:00,0,0,1.8,0,5.22,45.79
06/01/2018,22:00:00,0,0,1.54,0,5.14,48.82
06/01/2018,23:00:00,0,0,1.27,0,5.05,50.15
06/01/2018,00:00:00,0,0,1.06,0,5.03,49.48
07/01/2018,01:00:00,0,0,0.91,0,5.11,48.41
07/01/2018,02:00:00,0,0,0.83,0,5.2,49.08
07/01/2018,03:00:00,0,0,0.71,0,5.09,51.92
07/01/2018,04:00:00,0,0,0.49,0,4.79,56.23
07/01/2018,05:00:00,0,0,0.33,0,4.61,59.79
07/01/2018,06:00:00,0,0,0.26,0,4.54,60.3
07/01/2018,07:00:00,0,0,0.23,0,4.54,60.03
07/01/2018,08:00:00,0,0,0.29,0,4.54,60.96
07/01/2018,09:00:00,0,75.19,1.44,0,4.48,65.71
07/01/2018,10:00:00,0.908,159.14,2.55,0,4.68,71.32
07/01/2018,11:00:00,2.647,216.04,3.19,0,4.49,76.01
07/01/2018,12:00:00,4.75,235.14,3.65,0,4.3,77.1
07/01/2018,13:00:00,5.197,204.07,3.76,0,4.26,76.09
07/01/2018,14:00:00,4.433,131.1,3.15,0,4.2,76.33
07/01/2018,15:00:00,2.82,46.36,1.62,0,4.6,78.25
07/01/2018,16:00:00,0.606,0,0.56,0,5.04,82.07
